2024-02-29T12:51:23.982Z	NEW WS	GD001	127.0.0.1:60838
2024-02-29T12:52:55.276Z	NEW WS	WBX332442	127.0.0.1:60903
2024-02-29T13:07:10.431Z	REQ IN	0	127.0.0.1:60903	[2,"5165b3aa-57d1-4ea8-b450-22b3654eacce","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:57:49Z"}],"seqNo":3,"timestamp":"2024-02-29T12:57:49.079Z","transactionInfo":{"chargingState":"Idle","transactionId":"b1b8f0ca-3c90-4a7c-a679-451b2f74db07"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:10.445Z	RES OUT	0	127.0.0.1:60903	[3,"5165b3aa-57d1-4ea8-b450-22b3654eacce",{}]
2024-02-29T13:07:10.770Z	REQ IN	0	127.0.0.1:60903	[2,"66b52924-6782-4c44-b4d2-4e01cf49afee","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:57:59Z"}],"seqNo":4,"timestamp":"2024-02-29T12:57:59.134Z","transactionInfo":{"chargingState":"Idle","transactionId":"b1b8f0ca-3c90-4a7c-a679-451b2f74db07"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:10.783Z	RES OUT	0	127.0.0.1:60903	[3,"66b52924-6782-4c44-b4d2-4e01cf49afee",{}]
2024-02-29T13:07:11.009Z	REQ IN	0	127.0.0.1:60903	[2,"525ce727-842c-46d1-a28a-60f448c033e9","TransactionEvent",{"eventType":"Ended","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"context":"Transaction.End","location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.End","location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.End","location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"context":"Transaction.End","location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"context":"Transaction.End","location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Power.Factor","value":1.0},{"context":"Transaction.End","location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"context":"Transaction.End","location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"context":"Transaction.End","location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.End","location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.End","location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.End","location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:58:00Z"}],"seqNo":5,"timestamp":"2024-02-29T12:58:00.552Z","transactionInfo":{"chargingState":"Idle","stoppedReason":"Local","transactionId":"b1b8f0ca-3c90-4a7c-a679-451b2f74db07"},"triggerReason":"StopAuthorized"}]
2024-02-29T13:07:11.022Z	RES OUT	0	127.0.0.1:60903	[3,"525ce727-842c-46d1-a28a-60f448c033e9",{}]
2024-02-29T13:07:11.379Z	REQ IN	0	127.0.0.1:60903	[2,"bfe3573d-9d2d-45f0-861b-371a72d42307","TransactionEvent",{"eventType":"Started","evse":{"connectorId":1,"id":1},"idToken":{"idToken":"aabbccdd","type":"ISO14443"},"meterValue":[{"sampledValue":[{"context":"Transaction.Begin","location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Power.Factor","value":1.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"context":"Transaction.Begin","location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.Begin","location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"context":"Transaction.Begin","location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:58:36Z"}],"seqNo":0,"timestamp":"2024-02-29T12:58:36.318Z","transactionInfo":{"chargingState":"Idle","remoteStartId":308339041,"transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"RemoteStart"}]
2024-02-29T13:07:11.390Z	RES OUT	0	127.0.0.1:60903	[3,"bfe3573d-9d2d-45f0-861b-371a72d42307",{}]
2024-02-29T13:07:11.665Z	REQ IN	0	127.0.0.1:60903	[2,"73849961-4f0e-475a-b325-120b9d01a23d","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:58:46Z"}],"seqNo":1,"timestamp":"2024-02-29T12:58:46.373Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:11.689Z	RES OUT	0	127.0.0.1:60903	[3,"73849961-4f0e-475a-b325-120b9d01a23d",{}]
2024-02-29T13:07:12.071Z	REQ IN	0	127.0.0.1:60903	[2,"e14186b9-4b72-459a-98ba-26c813d2f4e1","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:58:56Z"}],"seqNo":2,"timestamp":"2024-02-29T12:58:56.471Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:12.082Z	RES OUT	0	127.0.0.1:60903	[3,"e14186b9-4b72-459a-98ba-26c813d2f4e1",{}]
2024-02-29T13:07:12.302Z	REQ IN	0	127.0.0.1:60903	[2,"4d178e8b-5f2b-48e2-b877-894da2cf1512","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:06Z"}],"seqNo":3,"timestamp":"2024-02-29T12:59:06.512Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:12.315Z	RES OUT	0	127.0.0.1:60903	[3,"4d178e8b-5f2b-48e2-b877-894da2cf1512",{}]
2024-02-29T13:07:12.655Z	REQ IN	0	127.0.0.1:60903	[2,"33ccd1c0-5fe9-4729-802d-25d16529e102","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:16Z"}],"seqNo":4,"timestamp":"2024-02-29T12:59:16.566Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:12.666Z	RES OUT	0	127.0.0.1:60903	[3,"33ccd1c0-5fe9-4729-802d-25d16529e102",{}]
2024-02-29T13:07:12.920Z	REQ IN	0	127.0.0.1:60903	[2,"de3bef86-5331-4ab8-a818-af0dafdb23d2","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:26Z"}],"seqNo":5,"timestamp":"2024-02-29T12:59:26.621Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:12.932Z	RES OUT	0	127.0.0.1:60903	[3,"de3bef86-5331-4ab8-a818-af0dafdb23d2",{}]
2024-02-29T13:07:13.289Z	REQ IN	0	127.0.0.1:60903	[2,"e3afa4a6-9bb2-44e3-b6a3-30df514b15d4","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:36Z"}],"seqNo":6,"timestamp":"2024-02-29T12:59:36.648Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:13.305Z	RES OUT	0	127.0.0.1:60903	[3,"e3afa4a6-9bb2-44e3-b6a3-30df514b15d4",{}]
2024-02-29T13:07:13.626Z	REQ IN	0	127.0.0.1:60903	[2,"bfe907a0-6b63-49fe-8992-dffcb4e0aca6","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:46Z"}],"seqNo":7,"timestamp":"2024-02-29T12:59:46.703Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:13.638Z	RES OUT	0	127.0.0.1:60903	[3,"bfe907a0-6b63-49fe-8992-dffcb4e0aca6",{}]
2024-02-29T13:07:13.944Z	REQ IN	0	127.0.0.1:60903	[2,"189ff353-6c66-4f29-8317-93b14c724555","TransactionEvent",{"eventType":"Updated","evse":{"connectorId":1,"id":1},"meterValue":[{"sampledValue":[{"location":"Inlet","measurand":"Current.Import","phase":"L1","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L2","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Current.Import","phase":"L3","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Import","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Outlet","measurand":"Current.Offered","unitOfMeasure":{"unit":"A"},"value":0.0},{"location":"Inlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Outlet","measurand":"Energy.Active.Import.Register","unitOfMeasure":{"unit":"Wh"},"value":0.0},{"location":"Inlet","measurand":"Frequency","unitOfMeasure":{"unit":"Hz"},"value":50.0},{"location":"Outlet","measurand":"Power.Active.Import","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"Inlet","measurand":"Power.Factor","value":1.0},{"location":"Outlet","measurand":"Power.Offered","unitOfMeasure":{"unit":"W"},"value":0.0},{"location":"EV","measurand":"SoC","unitOfMeasure":{"unit":"Percent"},"value":0.0},{"location":"Inlet","measurand":"Voltage","phase":"L1","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L2","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Inlet","measurand":"Voltage","phase":"L3","unitOfMeasure":{"unit":"V"},"value":230.0},{"location":"Outlet","measurand":"Voltage","unitOfMeasure":{"unit":"V"},"value":0.0}],"timestamp":"2024-02-29T12:59:56Z"}],"seqNo":8,"timestamp":"2024-02-29T12:59:56.75Z","transactionInfo":{"chargingState":"Idle","transactionId":"380bcd27-d25c-4a88-9782-06a05ceb3a3a"},"triggerReason":"MeterValuePeriodic"}]
2024-02-29T13:07:13.955Z	RES OUT	0	127.0.0.1:60903	[3,"189ff353-6c66-4f29-8317-93b14c724555",{}]
